Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,latitude,longitude,North,East
TML,DT,SHM,99,石門,Shek Mun,23,22.38777778,114.2083333,22.23.16,114.12.30
TML,DT,TSH,100,大水坑,Tai Shui Hang,24,22.40888889,114.2230556,22.24.32,114.13.23
TML,DT,HEO,101,恆安,Heng On,25,22.4175,114.2258333,22.25.03,114.13.33
TML,DT,MOS,102,馬鞍山,Ma On Shan,26,22.42472222,114.2316667,22.25.29,114.13.54
TML,DT,WKS,103,烏溪沙,Wu Kai Sha,27,22.42916667,114.2438889,22.25.45,114.14.38
TCL,DT,TUC,43,東涌,Tung Chung,1,22.28916667,113.9416667,22.17.21,113.56.30
TCL,DT,SUN,54,欣澳,Sunny Bay,2,22.33166667,114.0288889,22.19.54,114.01.44
TCL,DT,TSY,42,青衣,Tsing Yi,3,22.35833333,114.1069444,22.21.30,114.06.25
TCL,DT,LAK,21,茘景,Lai King,4,22.34833333,114.1261111,22.20.54,114.07.34
TCL,DT,NAC,53,南昌,Nam Cheong,5,22.32666667,114.1533333,22.19.36,114.09.12
TCL,DT,OLY,41,奧運,Olympic,6,22.31777778,114.1602778,22.19.04,114.09.37
TCL,DT,KOW,40,九龍,Kowloon,7,22.305,114.1613889,22.18.18,114.09.41
TCL,DT,HOK,39,香港,Hong Kong,8,22.285,114.1580556,22.17.06,114.09.29
TCL,UT,HOK,39,香港,Hong Kong,1,22.285,114.1580556,22.17.06,114.09.29
TCL,UT,KOW,40,九龍,Kowloon,2,22.305,114.1613889,22.18.18,114.09.41
TCL,UT,OLY,41,奧運,Olympic,3,22.31777778,114.1602778,22.19.04,114.09.37
TCL,UT,NAC,53,南昌,Nam Cheong,4,22.32666667,114.1533333,22.19.36,114.09.12
TCL,UT,LAK,21,茘景,Lai King,5,22.34833333,114.1261111,22.20.54,114.07.34
TCL,UT,TSY,42,青衣,Tsing Yi,6,22.35833333,114.1069444,22.21.30,114.06.25
TCL,UT,SUN,54,欣澳,Sunny Bay,7,22.33166667,114.0288889,22.19.54,114.01.44
TCL,UT,TUC,43,東涌,Tung Chung,8,22.28916667,113.9416667,22.17.21,113.56.30
TKL,DT,POA,52,寶琳,Po Lam,1,22.3225,114.2580556,22.19.21,114.15.29
TKL,DT,HAH,51,坑口,Hang Hau,2,22.31555556,114.2644444,22.18.56,114.15.52
TKL,DT,TKO,50,將軍澳,Tseung Kwan O,3,22.3075,114.26,22.18.27,114.15.36
TKL,DT,TIK,49,調景嶺,Tiu Keng Leng,4,22.30416667,114.2525,22.18.15,114.15.09
TKL,DT,YAT,48,油塘,Yau Tong,5,22.29777778,114.2372222,22.17.52,114.14.14
TKL,DT,QUB,32,鰂魚涌,Quarry Bay,6,22.28777778,114.2097222,22.17.16,114.12.35
TKL,DT,NOP,31,北角,North Point,7,22.29083333,114.2008333,22.17.27,114.12.03
TKL,TKS-DT,LHP,57,康城,LOHAS Park,1,22.29583333,114.2688889,22.17.45,114.16.08
TKL,TKS-DT,TKO,50,將軍澳,Tseung Kwan O,2,22.3075,114.26,22.18.27,114.15.36
TKL,TKS-DT,TIK,49,調景嶺,Tiu Keng Leng,3,22.30416667,114.2525,22.18.15,114.15.09
TKL,TKS-UT,TIK,49,調景嶺,Tiu Keng Leng,1,22.30416667,114.2525,22.18.15,114.15.09
TKL,TKS-UT,TKO,50,將軍澳,Tseung Kwan O,2,22.3075,114.26,22.18.27,114.15.36
TKL,TKS-UT,LHP,57,康城,LOHAS Park,3,22.29583333,114.2688889,22.17.45,114.16.08
TKL,UT,NOP,31,北角,North Point,1,22.29083333,114.2008333,22.17.27,114.12.03
TKL,UT,QUB,32,鰂魚涌,Quarry Bay,2,22.28777778,114.2097222,22.17.16,114.12.35
TKL,UT,YAT,48,油塘,Yau Tong,3,22.29777778,114.2372222,22.17.52,114.14.14
TKL,UT,TIK,49,調景嶺,Tiu Keng Leng,4,22.30416667,114.2525,22.18.15,114.15.09
TKL,UT,TKO,50,將軍澳,Tseung Kwan O,5,22.3075,114.26,22.18.27,114.15.36
TKL,UT,HAH,51,坑口,Hang Hau,6,22.31555556,114.2644444,22.18.56,114.15.52
TKL,UT,POA,52,寶琳,Po Lam,7,22.3225,114.2580556,22.19.21,114.15.29
TWL,DT,TSW,25,荃灣,Tsuen Wan,1,22.37361111,114.1177778,22.22.25,114.07.04
TWL,DT,TWH,24,大窩口,Tai Wo Hau,2,22.37083333,114.125,22.22.15,114.07.30
TWL,DT,KWH,23,葵興,Kwai Hing,3,22.36333333,114.1311111,22.21.48,114.07.52
TWL,DT,KWF,22,葵芳,Kwai Fong,4,22.35694444,114.1277778,22.21.25,114.07.40
TWL,DT,LAK,21,茘景,Lai King,5,22.34833333,114.1261111,22.20.54,114.07.34
TWL,DT,MEF,20,美孚,Mei Foo,6,22.33805556,114.1375,22.20.17,114.08.15
TWL,DT,LCK,19,茘枝角,Lai Chi Kok,7,22.33722222,114.1483333,22.20.14,114.08.54
TWL,DT,CSW,18,長沙灣,Cheung Sha Wan,8,22.33527778,114.1563889,22.20.07,114.09.23
TWL,DT,SSP,17,深水埗,Sham Shui Po,9,22.33083333,114.1622222,22.19.51,114.09.44
TWL,DT,PRE,16,太子,Prince Edward,10,22.32444444,114.1683333,22.19.28,114.10.06
TWL,DT,MOK,6,旺角,Mong Kok,11,22.31916667,114.1694444,22.19.09,114.10.10
TWL,DT,YMT,5,油麻地,Yau Ma Tei,12,22.31277778,114.1708333,22.18.46,114.10.15
TWL,DT,JOR,4,佐敦,Jordan,13,22.305,114.1716667,22.18.18,114.10.18
TWL,DT,TST,3,尖沙咀,Tsim Sha Tsui,14,22.29722222,114.1722222,22.17.50,114.10.20
TWL,DT,ADM,2,金鐘,Admiralty,15,22.27888889,114.1647222,22.16.44,114.09.53
TWL,DT,CEN,1,中環,Central,16,22.28194444,114.1575,22.16.55,114.09.27
TWL,UT,CEN,1,中環,Central,1,22.28194444,114.1575,22.16.55,114.09.27
TWL,UT,ADM,2,金鐘,Admiralty,2,22.27888889,114.1647222,22.16.44,114.09.53
TWL,UT,TST,3,尖沙咀,Tsim Sha Tsui,3,22.29722222,114.1722222,22.17.50,114.10.20
TWL,UT,JOR,4,佐敦,Jordan,4,22.305,114.1716667,22.18.18,114.10.18
TWL,UT,YMT,5,油麻地,Yau Ma Tei,5,22.31277778,114.1708333,22.18.46,114.10.15
TWL,UT,MOK,6,旺角,Mong Kok,6,22.31916667,114.1694444,22.19.09,114.10.10
TWL,UT,PRE,16,太子,Prince Edward,7,22.32444444,114.1683333,22.19.28,114.10.06
TWL,UT,SSP,17,深水埗,Sham Shui Po,8,22.33083333,114.1622222,22.19.51,114.09.44
TWL,UT,CSW,18,長沙灣,Cheung Sha Wan,9,22.33527778,114.1563889,22.20.07,114.09.23
TWL,UT,LCK,19,茘枝角,Lai Chi Kok,10,22.33722222,114.1483333,22.20.14,114.08.54
TWL,UT,MEF,20,美孚,Mei Foo,11,22.33805556,114.1375,22.20.17,114.08.15
TWL,UT,LAK,21,茘景,Lai King,12,22.34833333,114.1261111,22.20.54,114.07.34
TWL,UT,KWF,22,葵芳,Kwai Fong,13,22.35694444,114.1277778,22.21.25,114.07.40
TWL,UT,KWH,23,葵興,Kwai Hing,14,22.36333333,114.1311111,22.21.48,114.07.52
TWL,UT,TWH,24,大窩口,Tai Wo Hau,15,22.37083333,114.125,22.22.15,114.07.30
TWL,UT,TSW,25,荃灣,Tsuen Wan,16,22.37361111,114.1177778,22.22.25,114.07.04
SIL,UT,ADM,2,金鐘,Admiralty,1,22.27888889,114.1647222,22.16.44,114.09.53
SIL,UT,OCP,86,海洋公園,Ocean Park,2,22.24861111,114.1741667,22.14.55,114.10.27
SIL,UT,WCH,87,黃竹坑,Wong Chuk Hang,3,22.24805556,114.1680556,22.14.53,114.10.05
SIL,UT,LET,88,利東,Lei Tung,4,22.24222222,114.1561111,22.14.32,114.09.22
SIL,UT,SOH,89,海怡半島,South Horizons,5,22.2425,114.1491667,22.14.33,114.08.57
SIL,DT,SOH,89,海怡半島,South Horizons,1,22.2425,114.1491667,22.14.33,114.08.57
SIL,DT,LET,88,利東,Lei Tung,2,22.24222222,114.1561111,22.14.32,114.09.22
